"simulation","model","treatment_effect","anticipation_effect","naive_se_t","naive_se_a","naive_coverage_t","naive_power_t","naive_coverage_a","alpha_sd","convergence"
1601,"HH",0.0758277990421037,NA,0.0200296124271213,NA,100,0,NA,0.113242596593429,1
1601,"HH-ANT",0.0926241057779162,0.0296515371953694,0.0236254392210821,0.0222507523809821,100,0,100,0.11239204168065,1
1602,"HH",0.0238997461981497,NA,0.0201373596538227,NA,100,100,NA,0.108606415390539,1
1602,"HH-ANT",-0.00694949820613777,-0.0546656562002752,0.0237031449996879,0.0224024186041995,0,100,0,0.106696061642544,1
1603,"HH",0.080785566735453,NA,0.020028223750305,NA,100,0,NA,0.11781461024445,1
1603,"HH-ANT",0.0662172445329007,-0.0257010738308306,0.0236553921294299,0.0222220901906925,100,0,100,0.117611038862303,1
1604,"HH",0.0344226808338738,NA,0.0203092955872253,NA,100,100,NA,0.137912651622431,1
1604,"HH-ANT",0.0339392385876705,-0.000843019073307527,0.0240568492560675,0.0224425686476151,100,100,100,0.137935168054621,1
1605,"HH",0.0673805657552498,NA,0.0202586152542238,NA,100,0,NA,0.140813551594841,1
1605,"HH-ANT",0.0805281995253773,0.0228412447425014,0.0240051904768368,0.0223733153091647,100,0,100,0.140786983238179,1
1606,"HH",0.0556381443288819,NA,0.020364236043359,NA,100,0,NA,0.163748328602923,1
1606,"HH-ANT",0.0547516373802588,-0.00151542346266586,0.0241817890843865,0.0224225406688341,100,0,100,0.16384139032189,1
1607,"HH",0.045087672720199,NA,0.0202472767084629,NA,100,0,NA,0.159775044918411,1
1607,"HH-ANT",0.0536226272941532,0.0146339383818373,0.0240401091288646,0.0223020684609461,100,0,100,0.160357697404896,1
1608,"HH",0.0746305577907439,NA,0.0204351917752133,NA,100,0,NA,0.142192930467765,1
1608,"HH-ANT",0.066351496615784,-0.0142362335311735,0.0242084065101431,0.0225662878834948,100,0,100,0.141430035919425,1
1609,"HH",0.0650944088516787,NA,0.0202557853517249,NA,100,0,NA,0.12662753667845,1
1609,"HH-ANT",0.049155990648409,-0.027883349406884,0.0239485260481846,0.0224308171894316,100,0,100,0.125952499186241,1
1610,"HH",0.0687756685003393,NA,0.0202160406749067,NA,100,0,NA,0.130370431024671,1
1610,"HH-ANT",0.0608051285417322,-0.013896162650435,0.0239285485317784,0.0223707025906485,100,0,100,0.130759146081267,1
1611,"HH",0.0179120223737882,NA,0.020374319661189,NA,0,100,NA,0.160595412340644,1
1611,"HH-ANT",0.00729928547893627,-0.0182677157729079,0.0241880036753737,0.0224417570805906,0,100,100,0.160784594525169,1
1612,"HH",0.076060795387891,NA,0.0202798780617156,NA,100,0,NA,0.143496829396282,1
1612,"HH-ANT",0.0672510861012382,-0.0150936752931972,0.0240457440476247,0.0223897782561698,100,0,100,0.144440279765684,1
1613,"HH",0.0752624251929828,NA,0.0204191812665503,NA,100,0,NA,0.142849999903119,1
1613,"HH-ANT",0.069344032725701,-0.0102767738826266,0.0241986337816829,0.022547593005997,100,0,100,0.142860249178677,1
1614,"HH",0.0832638891901746,NA,0.0199265921348628,NA,100,0,NA,0.10255758602233,1
1614,"HH-ANT",0.0752125486800232,-0.0144106627198596,0.0234583907086018,0.0222193640265344,100,0,100,0.102301875311669,1
1615,"HH",0.0595222984716792,NA,0.0201596410925443,NA,100,0,NA,0.11624421244004,1
1615,"HH-ANT",0.0450073953437359,-0.0250445997236907,0.0238297116933659,0.0223904186448512,100,100,100,0.118044900129153,1
1616,"HH",0.0478488662766379,NA,0.0201706150631186,NA,100,0,NA,0.120349704153317,1
1616,"HH-ANT",0.0293999697086019,-0.0324877555198667,0.0238379866350475,0.0223714329716243,100,100,100,0.120687537705608,1
1617,"HH",0.0579987104462448,NA,0.0201784967576791,NA,100,0,NA,0.113486741168308,1
1617,"HH-ANT",0.0422235785465886,-0.0279793337507813,0.0238115128585263,0.0224238111354453,100,100,100,0.113460889000853,1
1618,"HH",0.0881409720203546,NA,0.0202823965124942,NA,100,0,NA,0.132391025605599,1
1618,"HH-ANT",0.0881342094251836,-1.60307847530791e-05,0.0240086581785399,0.0224358885475609,100,0,100,0.13243223934187,1
1619,"HH",0.0747827775488858,NA,0.0202197741756171,NA,100,0,NA,0.145235037352212,1
1619,"HH-ANT",0.0724563522995027,-0.00403123684585957,0.0239721611004077,0.0223139146284668,100,0,100,0.145232542703241,1
1620,"HH",0.0551088110030827,NA,0.0203806752516793,NA,100,0,NA,0.157090930316104,1
1620,"HH-ANT",0.0689331842934126,0.0238270962718859,0.0241889242433965,0.022458363166934,100,0,100,0.157374513903228,1
1621,"HH",0.0746180847435886,NA,0.020292024257624,NA,100,0,NA,0.135664058425518,1
1621,"HH-ANT",0.0788401465071509,0.00726030222589453,0.0240254860512831,0.0224311574532329,100,0,100,0.135244061246921,1
1622,"HH",0.0785076774722829,NA,0.020177261722617,NA,100,0,NA,0.143356612608851,1
1622,"HH-ANT",0.0941716840921255,0.0271453299540558,0.0239206044119811,0.0222728252147547,100,0,100,0.143760192488869,1
1623,"HH",0.0668697284654783,NA,0.0202516527902356,NA,100,0,NA,0.12045695161391,1
