"simulation","model","treatment_effect","anticipation_effect","naive_se_t","naive_se_a","naive_coverage_t","naive_power_t","naive_coverage_a","naive_power_a","alpha_sd","delta_sd","convergence"
1201,"HH",-0.861810512405136,NA,0.0236702108295337,NA,0,0,NA,NA,0.32024151500627,NA,1
1201,"HH-ANT",-1.12781510241453,-0.440500073982884,0.028145976679391,0.0257943823314924,0,0,0,0,0.382853806231823,NA,1
1201,"ETI",0.131495517905634,NA,0.032196490359832,NA,100,0,NA,NA,0.128733777920193,NA,1
1201,"ETI-ANT",0.124391820907916,-0.00666326697789128,0.041959206036036,0.0252028917114868,100,0,100,100,0.128851200820483,NA,1
1201,"TEH",0.12974282880344,NA,0.36181699812285,NA,100,100,NA,NA,0.128665357813021,1.01931908959193,1
1201,"TEH-ANT",0.121675118319548,-0.00756838956770104,0.362280489542511,0.0251958111985707,100,100,100,100,0.128771674288835,1.01780175819,1
1202,"HH",-0.830341189315642,NA,0.0237208159553181,NA,0,0,NA,NA,0.320041316360203,NA,1
1202,"HH-ANT",-1.103110131088,-0.45331682542613,0.0281935952548863,0.0258418688279337,0,0,0,0,0.37638932870107,NA,1
1202,"ETI",0.169171458872656,NA,0.033344745269946,NA,100,0,NA,NA,0.171993822452476,NA,1
1202,"ETI-ANT",0.155162549521563,-0.0122339251324107,0.0443729562695374,0.025881106732093,100,0,100,100,0.171089073569456,NA,1
1202,"TEH",0.167333419149001,NA,0.362763671574955,NA,100,100,NA,NA,0.171833523513877,1.02171358732018,1
1202,"TEH-ANT",0.152154514451733,-0.0132648622899021,0.362939939627364,0.0258716470548688,100,100,100,100,0.170856643230937,1.01886589668452,1
1203,"HH",-0.818001126343418,NA,0.0233245993090138,NA,0,0,NA,NA,0.337935255998181,NA,1
1203,"HH-ANT",-1.06404641636102,-0.408083891885212,0.0277446355378379,0.0254183978357598,0,0,0,0,0.393972310146151,NA,1
1203,"ETI",0.134311570092237,NA,0.0315785694413319,NA,100,0,NA,NA,0.118729182225759,NA,1
1203,"ETI-ANT",0.151175689397777,0.0160905074537564,0.0408500284878666,0.0247886465009643,100,0,100,100,0.118463894110064,NA,1
1203,"TEH",0.132642736788796,NA,0.351327910240429,NA,100,100,NA,NA,0.118788183131004,0.989687972656503,1
1203,"TEH-ANT",0.148609046903067,0.0152333221498624,0.353345431333815,0.0247845136121139,100,100,100,100,0.118525810456398,0.992720232460435,1
1204,"HH",-0.862090385075491,NA,0.0233316627928197,NA,0,0,NA,NA,0.327814229258455,NA,1
1204,"HH-ANT",-1.11960100580796,-0.427085688458165,0.027743772567932,0.0254214006949232,0,0,0,0,0.386001657695374,NA,1
1204,"ETI",0.0758525960399167,NA,0.0314092920587175,NA,100,0,NA,NA,0.116461579085698,NA,1
1204,"ETI-ANT",0.0582832675261496,-0.0168265000602238,0.0406335597480516,0.0246914242419471,100,100,100,100,0.116992209917922,NA,1
1204,"TEH",0.0742271001650629,NA,0.351947381294604,NA,100,100,NA,NA,0.116477334259434,0.991490499285265,1
1204,"TEH-ANT",0.0557869829283002,-0.017660322180102,0.351708884336382,0.0246872840271418,100,100,100,100,0.117049996874124,0.988131390474991,1
1205,"HH",-0.824044788328902,NA,0.0234363107287714,NA,0,0,NA,NA,0.325276738881004,NA,1
1205,"HH-ANT",-1.09328118733007,-0.447359249375661,0.0278553207971775,0.0255265765746645,0,0,0,0,0.381657285607705,NA,1
1205,"ETI",0.0926817229882272,NA,0.0328776183267349,NA,100,0,NA,NA,0.160424929375049,NA,1
1205,"ETI-ANT",0.039320540591774,-0.0476029091264647,0.0435777466154125,0.0255507018570001,100,100,100,100,0.159766207064602,NA,1
1205,"TEH",0.0910058043724497,NA,0.351561230142997,NA,100,100,NA,NA,0.160369096256007,0.990014109624669,1
1205,"TEH-ANT",0.0366331885287353,-0.0485311903108637,0.349301386348041,0.0255433417734051,100,100,100,100,0.159761526176546,0.980270225355789,1
1206,"HH",-0.833650598593408,NA,0.0235642359860368,NA,0,0,NA,NA,0.330169964007647,NA,1
1206,"HH-ANT",-1.08334965580773,-0.414229697155958,0.0280289016178521,0.0256846382976383,0,0,0,0,0.386008715234595,NA,1
1206,"ETI",0.129957476084001,NA,0.0324499642491105,NA,100,0,NA,NA,0.136839614124483,NA,1
1206,"ETI-ANT",0.148018478835517,0.0166401285352439,0.0425369373264437,0.0253496515341324,100,0,100,100,0.137334011668637,NA,1
1206,"TEH",0.128210381942589,NA,0.353274397598439,NA,100,100,NA,NA,0.136808714400477,0.994992764516012,1
1206,"TEH-ANT",0.145248621036964,0.0157052629596646,0.35558704438199,0.0253422733615879,100,100,100,100,0.137263079834283,0.998544622478293,1
1207,"HH",-0.815697707597956,NA,0.0234222444355488,NA,0,0,NA,NA,0.307409120253453,NA,1
1207,"HH-ANT",-1.05884809369359,-0.403241590277376,0.0278660423111227,0.0255478456714319,0,0,0,0,0.361333427484573,NA,1
1207,"ETI",0.136435887005399,NA,0.0307941034869726,NA,100,0,NA,NA,0.098131686360791,NA,1
1207,"ETI-ANT",0.157319068455448,0.020749316049026,0.0392217428559727,0.0245118744385365,100,0,100,100,0.0997221203418718,NA,1
1207,"TEH",0.134815113410259,NA,0.348176586347083,NA,100,100,NA,NA,0.0980288254099828,0.980939360042318,0
1207,"TEH-ANT",0.154882845395391,0.0199409678890407,0.3532182889968,0.0245027962683685,100,100,100,100,0.0995502492195972,0.992889850596642,1
1208,"HH",-0.869043255377688,NA,0.0233892793747669,NA,0,0,NA,NA,0.379479833617642,NA,1
1208,"HH-ANT",-1.12400662633348,-0.423459015796181,0.0278109786994009,0.0254627397593551,0,0,0,0,0.436126972435542,NA,1
1208,"ETI",0.0901166693886584,NA,0.0322024017500614,NA,100,0,NA,NA,0.136211501389587,NA,1
1208,"ETI-ANT",0.0933004711045954,0.00291720381252862,0.0421897602100863,0.025144765358281,100,0,100,100,0.136139543476466,NA,1
1208,"TEH",0.0883207432967877,NA,0.35091250573719,NA,100,100,NA,NA,0.136411226962199,0.988346826019256,1
1208,"TEH-ANT",0.0904209373681868,0.0019416282606309,0.352121460884938,0.025142989470514,100,100,100,100,0.136431717865822,0.988782126214954,1
1209,"HH",-0.821916891970515,NA,0.0234622307510804,NA,0,0,NA,NA,0.380677552576327,NA,1
1209,"HH-ANT",-1.08653040467257,-0.439465693465736,0.02788937444784,0.0255337437195071,0,0,0,0,0.439623633335501,NA,1
1209,"ETI",0.173107374551282,NA,0.0330465257352171,NA,100,0,NA,NA,0.170558358421692,NA,1
1209,"ETI-ANT",0.175745276731874,0.00233379364225629,0.0440142840303973,0.0256585030109536,100,0,100,100,0.17061844051319,NA,1
1209,"TEH",0.171222505653088,NA,0.354683437270069,NA,100,100,NA,NA,0.170658923988304,0.998838245781927,1
1209,"TEH-ANT",0.172668450814677,0.00128725132762473,0.355987706396298,0.0256526128072325,100,100,100,100,0.170774156850076,0.999172626591387,1
1210,"HH",-0.853193529338425,NA,0.0235638995959332,NA,0,0,NA,NA,0.329936060613861,NA,1
1210,"HH-ANT",-1.11676369128407,-0.437482963520675,0.028015402528096,0.0256713451937159,0,0,0,0,0.387657467040464,NA,1
1210,"ETI",0.118216203508775,NA,0.0328308091282168,NA,100,0,NA,NA,0.155692058127283,NA,1
1210,"ETI-ANT",0.111639002546724,-0.00590300786367049,0.0434502932688076,0.025541836486366,100,0,100,100,0.155699946275836,NA,1
1210,"TEH",0.116460998777674,NA,0.356832480513508,NA,100,100,NA,NA,0.155619301513075,1.00500014695125,1
1210,"TEH-ANT",0.10880883653843,-0.0068679167347854,0.357189559671797,0.0255340676890968,100,100,100,100,0.15562334089104,1.00279734211927,0
1211,"HH",-0.854857358432439,NA,0.0234583703626417,NA,0,0,NA,NA,0.331788216935834,NA,1
1211,"HH-ANT",-1.10420547850155,-0.413667936685815,0.0279020783050728,0.0255667509330343,0,0,0,0,0.387603393210466,NA,1
1211,"ETI",0.1251885470095,NA,0.0324570275879672,NA,100,0,NA,NA,0.143576448466092,NA,1
1211,"ETI-ANT",0.151593147707972,0.0240212814119851,0.042745489086695,0.0253140200428784,100,0,100,100,0.144334703666681,NA,1
1211,"TEH",0.123394186123974,NA,0.354518108941773,NA,100,100,NA,NA,0.143539235636751,0.998523510391494,1
1211,"TEH-ANT",0.148723320888791,0.023054590333023,0.35737898513559,0.0253063257525227,100,100,100,100,0.144241390811156,1.00357888404251,1
1212,"HH",-0.822123730828478,NA,0.0235571193486008,NA,0,0,NA,NA,0.349247499781777,NA,1
1212,"HH-ANT",-1.09010525439032,-0.444373539786396,0.0280037697508453,0.0256497944926409,0,0,0,0,0.41132768353498,NA,1
1212,"ETI",0.190967284283344,NA,0.031584048674612,NA,0,0,NA,NA,0.115349427980263,NA,1
1212,"ETI-ANT",0.202710355361091,0.0113346164538524,0.0407436844250835,0.0248404963123639,0,0,100,100,0.115363168461782,NA,1
1212,"TEH",0.189354760527113,NA,0.362563800704809,NA,100,100,NA,NA,0.115376917027133,1.02159145694251,1
1212,"TEH-ANT",0.200238315848494,0.0105072901430034,0.364183535687337,0.0248361475818945,100,100,100,100,0.115391692600832,1.02360942571401,1
1213,"HH",-0.851708916147754,NA,0.023648708822498,NA,0,0,NA,NA,0.333980117026947,NA,1
1213,"HH-ANT",-1.0771025119244,-0.374104177242347,0.0281482764031089,0.0257961962115076,0,0,0,0,0.383444846537667,NA,1
1213,"ETI",0.0796349549332281,NA,0.0328367088659642,NA,100,0,NA,NA,0.15007294486843,NA,1
1213,"ETI-ANT",0.131706716763066,0.0470902656016596,0.0433504267129472,0.0255785522592096,100,0,100,100,0.15058960269376,NA,1
1213,"TEH",0.0779023504816907,NA,0.354443117411968,NA,100,100,NA,NA,0.150087361016378,0.998211133137467,1
1213,"TEH-ANT",0.128901166194903,0.0461385668366892,0.358940583601665,0.0255711548997055,100,100,100,100,0.150534621904901,1.00782065208907,1
1214,"HH",-0.843402796992176,NA,0.0235455002181785,NA,0,0,NA,NA,0.343086463700033,NA,1
1214,"HH-ANT",-1.11275726978944,-0.446971001536197,0.02798759700286,0.0256382972063744,0,0,0,0,0.403374611995859,NA,1
1214,"ETI",0.126584758434261,NA,0.0328570519484362,NA,100,0,NA,NA,0.154246070511191,NA,1
1214,"ETI-ANT",0.101130588186775,-0.0228602835520983,0.0434777573878243,0.0255761823880756,100,0,100,100,0.154851845275493,NA,1
1214,"TEH",0.124767779177644,NA,0.353909349619149,NA,100,100,NA,NA,0.154257006625737,0.996689583501064,1
1214,"TEH-ANT",0.0982166290030891,-0.0238488038739662,0.353266900756267,0.0255699061789575,100,100,100,100,0.154915991830385,0.99160702982704,1
1215,"HH",-0.864646594541087,NA,0.0233718196072811,NA,0,0,NA,NA,0.321281062205072,NA,1
1215,"HH-ANT",-1.14083946336852,-0.457706632111201,0.0277768781148275,0.0254523960091431,0,0,0,0,0.385124277267235,NA,1
1215,"ETI",0.115326038196839,NA,0.0321938479901041,NA,100,0,NA,NA,0.134966838040759,NA,1
1215,"ETI-ANT",0.081298466096764,-0.0314590411008515,0.0421423445593367,0.025146414770281,100,100,100,100,0.13490901925818,NA,1
1215,"TEH",0.113548266731285,NA,0.353582248079764,NA,100,100,NA,NA,0.134895008669088,0.995933791051292,1
1215,"TEH-ANT",0.0785272801003488,-0.0323906108194766,0.35224906119788,0.0251397553652481,100,100,100,100,0.134880408864953,0.989168568300213,1
1216,"HH",-0.851396047257681,NA,0.0234627423975849,NA,0,0,NA,NA,0.366183541388275,NA,1
1216,"HH-ANT",-1.12483266280286,-0.453787457579727,0.0278829923970829,0.0255317761955339,0,0,0,0,0.428488004409153,NA,1
1216,"ETI",0.131085549963753,NA,0.0325733983126767,NA,100,0,NA,NA,0.146553427558649,NA,1
1216,"ETI-ANT",0.108525063888144,-0.0202579350338048,0.0429994280378101,0.0253999728623217,100,0,100,100,0.148044077677145,NA,1
1216,"TEH",0.12930245165165,NA,0.354537825820276,NA,100,100,NA,NA,0.146641663902746,0.998548509507667,1
1216,"TEH-ANT",0.105646605418781,-0.0212370047303712,0.354057986280439,0.0253955853410884,100,100,100,100,0.148222879286783,0.994025238129572,1
1217,"HH",-0.890586993206825,NA,0.0234815270985801,NA,0,0,NA,NA,0.382567053724702,NA,1
1217,"HH-ANT",-1.15841103380915,-0.444681601124495,0.0279097946068761,0.0255513880080665,0,0,0,0,0.443088307331529,NA,1
1217,"ETI",0.0768428530376579,NA,0.0326415292524342,NA,100,0,NA,NA,0.149305999993574,NA,1
1217,"ETI-ANT",0.0589065223481731,-0.0158350480074668,0.0431606986826547,0.0254427880456281,100,100,100,100,0.151069882110375,NA,1
1217,"TEH",0.0750789156078057,NA,0.355194975106007,NA,100,100,NA,NA,0.149468510401429,1.0003969327585,1
1217,"TEH-ANT",0.0560142175967477,-0.0168262518564134,0.355057513970871,0.0254394976760098,100,100,100,100,0.151351331706496,0.996816062420412,1
1218,"HH",-0.875050248503484,NA,0.0234139249932792,NA,0,0,NA,NA,0.322500757823219,NA,1
1218,"HH-ANT",-1.13268116079946,-0.426769276589539,0.0278449191109736,0.025516354089726,0,0,0,0,0.382863643063152,NA,1
1218,"ETI",0.106091746197261,NA,0.0319324921380815,NA,100,0,NA,NA,0.125584957862718,NA,1
1218,"ETI-ANT",0.118594577326537,0.0117506609929234,0.0415625972748041,0.0250204199417029,100,0,100,100,0.125961857083579,NA,1
