"simulation","model","treatment_effect","anticipation_effect","naive_se_t","naive_se_a","naive_coverage_t","naive_power_t","naive_coverage_a","alpha_sd","convergence"
1801,"HH",0.0391220344191055,NA,0.0202193378412397,NA,100,100,NA,0.148222316653872,1
1801,"HH-ANT",0.0501343610802047,0.0190509034745592,0.023979869532057,0.022303479388671,100,0,100,0.148369380577717,1
1802,"HH",0.0726446624936306,NA,0.0204039392557233,NA,100,0,NA,0.157039751766809,1
1802,"HH-ANT",0.0690194545597215,-0.00625147954260295,0.0242147444980969,0.0224846084010252,100,0,100,0.15706726715725,1
1803,"HH",0.0535882510079954,NA,0.020221170487976,NA,100,0,NA,0.134719788455544,1
1803,"HH-ANT",0.0527254911609496,-0.00149871944533559,0.0239441255193056,0.0223558920641331,100,0,100,0.134690837930595,1
1804,"HH",0.0439824381047561,NA,0.0203478646779452,NA,100,0,NA,0.16162304217827,1
1804,"HH-ANT",0.0480200149065328,0.00692382638726221,0.0241596887432797,0.022409763280813,100,0,100,0.161893195298117,1
1805,"HH",0.0748113129245152,NA,0.0202460869622281,NA,100,0,NA,0.146202736179228,1
1805,"HH-ANT",0.0581236457330962,-0.02887574547078,0.0240003156246577,0.0223385603103852,100,0,100,0.145669413395792,1
1806,"HH",0.0572231288634634,NA,0.0202950593328745,NA,100,0,NA,0.155787529980997,1
1806,"HH-ANT",0.0761761445453882,0.0323286550863691,0.0240694521971248,0.0223613627624928,100,0,100,0.153750543961223,1
1807,"HH",0.0542927494833227,NA,0.0200889388355972,NA,100,0,NA,0.120521801009816,1
1807,"HH-ANT",0.0640902801250813,0.0172170315778941,0.0237452346761105,0.0222776585740584,100,0,100,0.120898841268748,1
1808,"HH",0.0738682844258041,NA,0.02012415564989,NA,100,0,NA,0.152211968992206,1
1808,"HH-ANT",0.0853963648065077,0.0199026664810912,0.0238766078329925,0.0221836888960907,100,0,100,0.152224019876663,1
1809,"HH",0.0499993323535607,NA,0.0202598596765808,NA,100,0,NA,0.153676410079154,1
1809,"HH-ANT",0.0619391264375457,0.0205433396782206,0.0240336344702937,0.0223307271043859,100,0,100,0.152999076564371,1
1810,"HH",0.0665738872536984,NA,0.0203675267869923,NA,100,0,NA,0.140004958598127,1
1810,"HH-ANT",0.0810502786417653,0.0250851519786246,0.0241225943392793,0.0224977157436262,100,0,100,0.139215156515046,1
1811,"HH",0.0832735460699075,NA,0.0202902565660303,NA,100,0,NA,0.135613747895387,1
1811,"HH-ANT",0.0856696297171582,0.00417619546867326,0.0240275503154878,0.0224304810399207,100,0,100,0.135613654431813,1
1812,"HH",0.0299315096809372,NA,0.0203018820937787,NA,100,100,NA,0.158764920070842,1
1812,"HH-ANT",0.0327728519277814,0.00489459515611665,0.0240987927284685,0.0223652875761676,100,100,100,0.158798939613847,1
1813,"HH",0.0667433293911765,NA,0.0201795475201365,NA,100,0,NA,0.126977903971966,1
1813,"HH-ANT",0.0676966488359745,0.00166183487530187,0.0238711944901515,0.0223450969692774,100,0,100,0.127062988999976,1
1814,"HH",0.0551425781586301,NA,0.0203213989757379,NA,100,0,NA,0.16317944878375,1
1814,"HH-ANT",0.061054497975846,0.010158829093479,0.0241288659359317,0.0223754557559071,100,0,100,0.163013725088326,1
1815,"HH",0.0812008631193729,NA,0.0202453700985099,NA,100,0,NA,0.155826433214196,1
1815,"HH-ANT",0.0784778480552094,-0.00469391015989581,0.0240261490513009,0.0223097506736127,100,0,100,0.155789300924942,1
1816,"HH",0.0168156246348149,NA,0.0202873722685081,NA,0,100,NA,0.138502251343468,1
1816,"HH-ANT",0.0198636264063253,0.00530014140535739,0.0240336320288432,0.0224155041480304,100,100,100,0.138590118768577,1
1817,"HH",0.0247221653324801,NA,0.0204711638276264,NA,100,100,NA,0.159010668790322,1
1817,"HH-ANT",0.0177084304307336,-0.0120863244607246,0.0242977929134088,0.0225546773497029,100,100,100,0.159093517987308,1
1818,"HH",0.0421665566273131,NA,0.0203309619514679,NA,100,0,NA,0.14031834810142,1
1818,"HH-ANT",0.0511308868964372,0.015471091789547,0.0240951563455968,0.0224589926689523,100,0,100,0.141033029299567,1
1819,"HH",0.0693052688282427,NA,0.0202623194650785,NA,100,0,NA,0.123078973296107,1
1819,"HH-ANT",0.0662408646494349,-0.00537619516415945,0.0239499936878582,0.0224597677173577,100,0,100,0.122973753949367,1
1820,"HH",0.0657270698268339,NA,0.020320011442296,NA,100,0,NA,0.135503789919981,1
1820,"HH-ANT",0.0581819688618643,-0.0131390131683295,0.0240595791808463,0.0224640286006252,100,0,100,0.135293707742174,1
1821,"HH",0.0822110113640783,NA,0.0201623305489948,NA,100,0,NA,0.115334270580342,1
1821,"HH-ANT",0.0961072822091265,0.0245933796810773,0.0237996318172724,0.0223921047735826,100,0,100,0.115169628572841,1
1822,"HH",0.0144003979707932,NA,0.0202389571565028,NA,0,100,NA,0.157495668969643,1
1822,"HH-ANT",0.0219201891588845,0.0129256901074512,0.0240197250673041,0.0222972665854913,100,100,100,0.157121337505867,1
1823,"HH",0.0177911012238032,NA,0.0201764920282159,NA,0,100,NA,0.139607233749061,1
1823,"HH-ANT",0.0317701030721899,0.0242881977038004,0.0239043362803838,0.0222845495647953,100,100,100,0.139393643811701,1
1824,"HH",0.0645285369446324,NA,0.0202315530828951,NA,100,0,NA,0.130959635126941,1
1824,"HH-ANT",0.0969160210814885,0.0565391357943736,0.0239293487660366,0.0223789562870541,100,0,0,0.129831367344901,1
1825,"HH",0.0676780613097288,NA,0.0203175374745781,NA,100,0,NA,0.138960335288679,1
1825,"HH-ANT",0.0539828992819948,-0.0236923423263374,0.0240599201369649,0.0224449273897511,100,0,100,0.138026000503294,1
1826,"HH",0.0748517746953702,NA,0.0202824243260313,NA,100,0,NA,0.145000196299055,1
1826,"HH-ANT",0.0697887012601216,-0.0087765071365829,0.0240445578512203,0.0223853560538347,100,0,100,0.144986566105131,1
1827,"HH",0.0294114104922345,NA,0.0201836243418405,NA,100,100,NA,0.128872124393626,1
1827,"HH-ANT",0.0436167180822432,0.0248610674269529,0.023881335677962,0.0223396403949412,100,100,100,0.128889602377232,1
1828,"HH",0.0663256074901706,NA,0.0204678378770673,NA,100,0,NA,0.149641467066925,1
1828,"HH-ANT",0.0625443652837154,-0.00654373236464516,0.024272704811055,0.0225788529450035,100,0,100,0.149639255044178,1
