"simulation","model","treatment_effect","anticipation_effect","naive_se_t","naive_se_a","naive_coverage_t","naive_power_t","naive_coverage_a","alpha_sd","convergence"
1201,"HH",-0.0146897013858182,NA,0.0202474698162851,NA,100,100,NA,0.126759531293022,1
1201,"HH-ANT",-0.0206573672119848,-0.0104615014810549,0.0239492404212027,0.0224235647388048,100,100,100,0.126854154975574,1
1202,"HH",0.0133592267536714,NA,0.0205590880459726,NA,100,100,NA,0.168639730019912,1
1202,"HH-ANT",-0.00198778229857112,-0.0262959461308213,0.0244133164666128,0.0226272837995047,100,100,100,0.167816652865124,1
1203,"HH",0.0315708352492621,NA,0.0199907932860855,NA,100,100,NA,0.118024865241459,1
1203,"HH-ANT",0.0443779136632009,0.0225879780275181,0.0236142625627378,0.0221783119131952,100,100,100,0.117898916087375,1
1204,"HH",-0.015280792250783,NA,0.0199178803483954,NA,100,100,NA,0.116143267203929,1
1204,"HH-ANT",-0.0140683805693579,0.00214032906170769,0.0235247999709257,0.0221075108385435,100,100,100,0.116197988902559,1
1205,"HH",0.0206320385500462,NA,0.0203612513578141,NA,100,100,NA,0.161777658128873,1
1205,"HH-ANT",0.00918474412657368,-0.0196665787467621,0.0241706727730215,0.0224229258715871,100,100,100,0.16128900458651,1
1206,"HH",0.0131325292495386,NA,0.0203164953971594,NA,100,100,NA,0.136618063932308,1
1206,"HH-ANT",0.0215659070743994,0.0146877891856887,0.0240623004062147,0.0224561758805729,100,100,100,0.136750318182136,1
1207,"HH",0.0234664303211069,NA,0.0199180910509315,NA,100,100,NA,0.0984271169643425,1
1207,"HH-ANT",0.0346557860939862,0.0199700545169674,0.0234454475966293,0.0222551231792348,100,100,100,0.0992455077767618,1
1208,"HH",-0.0139149943685681,NA,0.0201461565505455,NA,100,100,NA,0.134552252896333,1
1208,"HH-ANT",-0.00740319443930446,0.0113024050514823,0.023852816248291,0.0222705678872651,100,100,100,0.134186979903625,1
1209,"HH",0.0312466589109106,NA,0.0203874005651728,NA,100,100,NA,0.171659419328578,1
1209,"HH-ANT",0.0278444516281472,-0.00581856041477965,0.024223221306429,0.0224303974065766,100,100,100,0.171876309898049,1
1210,"HH",-0.00693729844754847,NA,0.0203684262972691,NA,100,100,NA,0.156208507202423,1
1210,"HH-ANT",-0.0119272515227099,-0.0086050387394172,0.0241708117282718,0.0224468702624754,100,100,100,0.156149878695132,1
1211,"HH",-0.00759886412236524,NA,0.0202385320883091,NA,100,100,NA,0.143512991664524,1
1211,"HH-ANT",0.00138971820424426,0.0155893665677052,0.023990386276543,0.0223411909999999,100,100,100,0.143619544258773,1
1212,"HH",0.0308202605979515,NA,0.0200810223715867,NA,100,100,NA,0.116992415038515,1
1212,"HH-ANT",0.0248973131397283,-0.0104125511207909,0.023721217567789,0.0222902517347143,100,100,100,0.117340688619653,1
1213,"HH",-0.00484612973660516,NA,0.0204251018311854,NA,100,100,NA,0.150080743904865,1
1213,"HH-ANT",0.026465924487848,0.0541397458644014,0.0242263455138756,0.022528299658814,100,100,0,0.150701840087817,1
