"simulation","model","treatment_effect","anticipation_effect","naive_se_t","naive_se_a","naive_coverage_t","naive_power_t","naive_coverage_a","naive_power_a","alpha_sd","delta_sd","convergence"
1,"HH",0.0583144824138235,NA,0.0200393804059746,NA,100,0,NA,NA,0.114879984864443,NA,1
1,"HH-ANT",0.0952759539680388,0.065298350122295,0.0236336625289257,0.0222461671787223,100,0,100,0,0.113477662529296,NA,1
1,"ETI",0.0447664256656089,NA,0.0315877832245034,NA,100,100,NA,NA,0.116204291114732,NA,1
1,"ETI-ANT",0.121337835493118,0.0735753590548431,0.0405262500170818,0.0247684355314473,100,0,100,0,0.113385783179095,NA,1
1,"TEH",0.0577606528241814,NA,0.0204048597950939,NA,100,0,NA,NA,0.114922118013064,0.00542014918573049,1
1,"TEH-ANT",0.095274253432191,0.0652974998543655,0.023634071960445,0.022246272288427,100,0,100,0,0.113503746694601,0,1
2,"HH",0.0412228472933291,NA,0.0202833237573584,NA,100,0,NA,NA,0.146126321144216,NA,1
2,"HH-ANT",0.0386534064173346,-0.00445172218201515,0.0240487638814869,0.0223825971355379,100,100,0,100,0.146144563329786,NA,1
2,"ETI",0.0527721752533258,NA,0.0325886379527584,NA,100,100,NA,NA,0.147071205457805,NA,1
2,"ETI-ANT",0.0511268470996059,-0.00150202635703139,0.0429613886953272,0.0253922919684738,100,100,100,100,0.147241320894062,NA,1
2,"TEH",0.0412228048929263,NA,0.0202833007402143,NA,100,0,NA,NA,0.146121600803406,0,1
2,"TEH-ANT",0.0386534079239835,-0.00445172142869258,0.0240487650205877,0.022382597426015,100,100,0,100,0.146144702375369,0,1
3,"HH",0.0565397660396653,NA,0.0202304729433139,NA,100,0,NA,NA,0.134183137196566,NA,1
3,"HH-ANT",0.0756123279855666,0.0332335711824108,0.023957806840474,0.0223693037420642,100,0,100,100,0.134680707300049,NA,1
3,"ETI",-0.00057860067438864,NA,0.0322580102198771,NA,0,100,NA,NA,0.133856388077293,NA,1
3,"ETI-ANT",0.00960385170087737,0.00944243862066049,0.0421969304737123,0.0252104332289647,100,100,100,100,0.133982461571996,NA,1
3,"TEH",0.038874947980036,NA,0.0248706262181307,NA,100,100,NA,NA,0.133852950081604,0.0228758277682875,1
3,"TEH-ANT",0.0606350829212397,0.0272084661666986,0.028392001185728,0.0229147258695567,100,0,100,100,0.134286003791312,0.0192885286720197,1
4,"HH",0.0691811378472599,NA,0.0203653318109639,NA,100,0,NA,NA,0.143089220545614,NA,1
4,"HH-ANT",0.0815808601035306,0.0215188335539242,0.0241376433461205,0.0224859510517863,100,0,100,100,0.143264629450383,NA,1
4,"ETI",0.116103151978178,NA,0.0326598667742743,NA,100,0,NA,NA,0.144120966125868,NA,1
4,"ETI-ANT",0.171421746384938,0.0500042915939128,0.043116642161544,0.025501680355425,0,0,100,0,0.14698636907012,NA,1
4,"TEH",0.0691811687632425,NA,0.0203653495151494,NA,100,0,NA,NA,0.143092602040843,0,1
4,"TEH-ANT",0.0815808658776305,0.0215188364409731,0.0241376456472076,0.022485951639356,100,0,100,100,0.143264892227002,0,1
5,"HH",0.0656442410091955,NA,0.0202253138512026,NA,100,0,NA,NA,0.136629393994475,NA,1
5,"HH-ANT",0.0819159134951164,0.028253823510293,0.0239464962459351,0.022349991648518,100,0,100,100,0.135826705470231,NA,1
5,"ETI",0.0601241141446207,NA,0.032341952966358,NA,100,100,NA,NA,0.137686002197313,NA,1
5,"ETI-ANT",0.0945898225513715,0.0314321469878525,0.0422821122130418,0.025218443729961,100,0,100,100,0.135762561560132,NA,1
5,"TEH",0.0656442477595494,NA,0.020225313265525,NA,100,0,NA,NA,0.136629293891105,0,1
5,"TEH-ANT",0.0819159126855126,0.0282538231054884,0.0239464963437352,0.0223499916735437,100,0,100,100,0.135826715303814,0,1
6,"HH",0.0284016967782927,NA,0.0203502100052458,NA,0,100,NA,NA,0.139637837467222,NA,1
6,"HH-ANT",0.0584859477311341,0.0520593639806206,0.0241244585349448,0.0224842970923811,100,0,100,0,0.141514056017148,NA,1
6,"ETI",-0.0164008302254504,NA,0.0324976971391981,NA,0,100,NA,NA,0.137694542866383,NA,1
6,"ETI-ANT",0.0271006009495475,0.0398732533000984,0.0426985875518681,0.0254014352769,100,100,100,100,0.139521168075544,NA,1
6,"TEH",0.0240823817802216,NA,0.0216906025833608,NA,0,100,NA,NA,0.13930174423507,0.010734359345605,1
6,"TEH-ANT",0.058487029689486,0.0520599056438696,0.0241245528931102,0.0224843206497798,100,0,100,0,0.141524007872739,1.6272661180333e-05,1
7,"HH",0.0767247201541648,NA,0.0202041193131547,NA,100,0,NA,NA,0.145568648389072,NA,1
7,"HH-ANT",0.1143795398412,0.0647604600462695,0.023924260382027,0.0222849822048304,100,0,100,0,0.142349585695376,NA,1
7,"ETI",0.0156912489054856,NA,0.0325982608661959,NA,100,100,NA,NA,0.152890475378152,NA,1
7,"ETI-ANT",0.0727837798397452,0.0500220201737207,0.0427945184655728,0.0252906005858951,100,100,100,0,0.146807671246909,NA,1
7,"TEH",0.0767245934167604,NA,0.0202041269022357,NA,100,0,NA,NA,0.14556983113413,1.17392680013913e-05,1
7,"TEH-ANT",0.114379527282064,0.0647604537667037,0.0239242612624318,0.0222849824296073,100,0,100,0,0.142349686937688,0,1
8,"HH",0.0044172370633207,NA,0.0200529464608539,NA,0,100,NA,NA,0.11736004560493,NA,1
8,"HH-ANT",0.0223842887544417,0.0313850134854851,0.0236625767152421,0.0222480959874058,0,100,100,100,0.115854190631091,NA,1
8,"ETI",0.00998562761082469,NA,0.0315763065150383,NA,0,100,NA,NA,0.116251584133728,NA,1
