"simulation","model","treatment_effect","anticipation_effect","naive_se_t","naive_se_a","naive_coverage_t","naive_power_t","naive_coverage_a","naive_power_a","alpha_sd","delta_sd","convergence"
1401,"HH",0.0713719798046311,NA,0.0202379211712993,NA,100,0,NA,NA,0.127169871237261,NA,1
1401,"HH-ANT",0.112480886476321,0.0720367545619813,0.0239249279884844,0.022403942976111,100,0,100,0,0.12636701458121,NA,1
1401,"ETI",0.0328178477680582,NA,0.0321847849075666,NA,100,100,NA,NA,0.128767962190604,NA,1
1401,"ETI-ANT",0.108082511519554,0.0705002544235325,0.0417969442184885,0.0251543813809001,100,0,100,0,0.12688105130896,NA,1
1401,"TEH",0.071372973739184,NA,0.0202377561186155,NA,100,0,NA,NA,0.12714682927065,0,1
1401,"TEH-ANT",0.112480750984415,0.0720366868160315,0.0239250142749407,0.0224039651050857,100,0,100,0,0.126374135316733,0,1
1402,"HH",0.039481257550459,NA,0.0201965202122911,NA,100,100,NA,NA,0.132216690626377,NA,1
1402,"HH-ANT",0.0529498202330377,0.0232827425202581,0.0239199783563293,0.0223418353734156,100,0,100,100,0.133409373354413,NA,1
1402,"ETI",0.0141177102789441,NA,0.0321247378764169,NA,100,100,NA,NA,0.130337368771264,NA,1
1402,"ETI-ANT",0.031616711092466,0.0160165155942701,0.042017848678954,0.0251520954806582,100,100,100,100,0.131770493432279,NA,1
1402,"TEH",0.0394813051837922,NA,0.0201965230946417,NA,100,100,NA,NA,0.132217141727135,0,1
1402,"TEH-ANT",0.0529500498848713,0.0232828573461743,0.0239199936595,0.0223418392918251,100,0,100,100,0.133410841445364,0,1
1403,"HH",0.0459846324909298,NA,0.0201772654153125,NA,100,0,NA,NA,0.15052219766849,NA,1
1403,"HH-ANT",0.0711630194075308,0.0435080781976291,0.0239347899276704,0.0222476479389738,100,0,100,100,0.150672505632829,NA,1
1403,"ETI",-0.000566955299811848,NA,0.0325122056359922,NA,0,100,NA,NA,0.152290528006034,NA,1
1403,"ETI-ANT",0.0398393833294383,0.0363365797391657,0.0429520660429402,0.0252936197583411,100,100,100,100,0.151627359563355,NA,1
1403,"TEH",0.0459845970785497,NA,0.0201774052723351,NA,100,0,NA,NA,0.150553898348661,0,1
1403,"TEH-ANT",0.071163022728385,0.0435080798580569,0.0239347916406309,0.0222476483747911,100,0,100,100,0.150672736751207,0,1
1404,"HH",0.038270587048953,NA,0.0203694643290337,NA,100,100,NA,NA,0.159711161763508,NA,1
1404,"HH-ANT",0.066122184321722,0.047879973844401,0.0241691944303596,0.0224346499455361,100,0,100,0,0.158391816775089,NA,1
1404,"ETI",0.0166114438434387,NA,0.0329210696560716,NA,100,100,NA,NA,0.161206076959057,NA,1
1404,"ETI-ANT",0.0757955961858382,0.052462782158729,0.0435350307841222,0.0255540440264033,100,100,100,0,0.158023730472117,NA,1
1404,"TEH",0.0382703760782711,NA,0.0203694803575348,NA,100,100,NA,NA,0.159715354052949,0,1
1404,"TEH-ANT",0.066122271721855,0.0478800175444675,0.0241691842905867,0.0224346473736403,100,0,100,0,0.158390282037161,0,1
1405,"HH",0.0601009998304068,NA,0.0201668397964919,NA,100,0,NA,NA,0.12300274815361,NA,1
1405,"HH-ANT",0.0878993674787711,0.0488258549455883,0.0238285946562056,0.0223470825657332,100,0,100,0,0.122229273557377,NA,1
