"simulation","model","treatment_effect","anticipation_effect","naive_se_t","naive_se_a","naive_coverage_t","naive_power_t","naive_coverage_a","naive_power_a","alpha_sd","delta_sd","convergence"
801,"HH",-0.84842675039905,NA,0.023327553567357,NA,0,0,NA,NA,0.375352331883531,NA,1
801,"HH-ANT",-1.1019309071029,-0.421012869811657,0.0277384376612702,0.0253974715529588,0,0,0,0,0.431684228075305,NA,1
801,"ETI",0.138235253515148,NA,0.0322261336997855,NA,100,0,NA,NA,0.141092971238403,NA,1
801,"ETI-ANT",0.162889182956796,0.0223943420089494,0.0422969222053065,0.0251167296538662,100,0,100,100,0.13999483685628,NA,1
801,"TEH",0.136452189022393,NA,0.353660236834556,NA,100,100,NA,NA,0.141224807150862,0.996145578930671,1
801,"TEH-ANT",0.160061345283652,0.0214397998637828,0.356353793765009,0.025112804675207,100,100,100,100,0.140153920042639,1.00080534314716,1
802,"HH",-0.891596353829388,NA,0.0234781242605194,NA,0,0,NA,NA,0.361576079821766,NA,1
802,"HH-ANT",-1.17394687616123,-0.468486982459769,0.0278930505024238,0.025541875657785,0,0,0,0,0.426224910210294,NA,1
802,"ETI",0.128345444024467,NA,0.032152680866116,NA,100,0,NA,NA,0.130978568470163,NA,1
802,"ETI-ANT",0.108791602284989,-0.0181214211287813,0.0420333368705308,0.0251601514227726,100,0,100,100,0.131859253152111,NA,1
802,"TEH",0.126579728682387,NA,0.358356135214043,NA,100,100,NA,NA,0.131040710290295,1.00950117757494,1
802,"TEH-ANT",0.106013558357007,-0.0190558858864671,0.357993910089602,0.0251562548890935,100,100,100,100,0.13198158463462,1.0055654760116,1
803,"HH",-0.875381109897732,NA,0.0235378927505191,NA,0,0,NA,NA,0.373097173796068,NA,1
803,"HH-ANT",-1.15099606818808,-0.457841283456239,0.0279690934000283,0.0256093222344828,0,0,0,0,0.43340422343705,NA,1
803,"ETI",0.107938030221655,NA,0.0321882311223935,NA,100,0,NA,NA,0.130779176398844,NA,1
803,"ETI-ANT",0.0796747469090598,-0.0258784692183495,0.0421444866778269,0.0252093242981539,100,100,100,100,0.132786661863302,NA,1
803,"TEH",0.106212989506498,NA,0.358275008360864,NA,100,100,NA,NA,0.130927889824874,1.00926106423532,1
803,"TEH-ANT",0.0769106016720686,-0.0268149070029902,0.357345568129161,0.02520741814228,100,100,100,100,0.133037454988729,1.00367896487847,1
804,"HH",-0.854854336957494,NA,0.0235427209714995,NA,0,0,NA,NA,0.440822883814425,NA,1
804,"HH-ANT",-1.14636978642411,-0.483967592462861,0.0279576813638687,0.0255773019472567,0,0,0,0,0.510500461590638,NA,1
804,"ETI",0.225476223817983,NA,0.0324655771202062,NA,0,0,NA,NA,0.137967230034186,NA,1
804,"ETI-ANT",0.225644882773836,0.000245316359209762,0.0425690303619841,0.0253495857227439,0,0,100,100,0.138146435637376,NA,1
804,"TEH",0.223413695115238,NA,0.363128683594369,NA,100,100,NA,NA,0.138373327718702,1.02297254018122,1
804,"TEH-ANT",0.222126348996579,-0.000964703557014639,0.364097124074622,0.0253535573429657,100,100,100,100,0.138809448694449,1.02275820290473,1
805,"HH",-0.843157570328968,NA,0.0234226521456889,NA,0,0,NA,NA,0.357467926569282,NA,1
805,"HH-ANT",-1.10408607395681,-0.433079387927745,0.027847035852886,0.0255033288674231,0,0,0,0,0.416166276789825,NA,1
805,"ETI",0.137319400700313,NA,0.0323670982883284,NA,100,0,NA,NA,0.142942288779788,NA,1
805,"ETI-ANT",0.143015528476342,0.00519684559292152,0.0425800342415479,0.0252354022950407,100,0,100,100,0.142955437557928,NA,1
805,"TEH",0.135573721944469,NA,0.354732656719002,NA,100,100,NA,NA,0.143010984476773,0.999155490474759,1
805,"TEH-ANT",0.14023258532656,0.00425418105007866,0.356135772379791,0.0252303816617209,100,100,100,100,0.14305337944607,1.00008981885824,1
806,"HH",-0.872051604742748,NA,0.0235383486205281,NA,0,0,NA,NA,0.290319705348909,NA,1
806,"HH-ANT",-1.13569484120525,-0.436020254401183,0.0279962806030242,0.0256737742267086,0,0,0,0,0.352725925545833,NA,1
806,"ETI",0.107379370593621,NA,0.0318422640782261,NA,100,0,NA,NA,0.116827290129086,NA,1
806,"ETI-ANT",0.101940919072658,-0.00518077753455842,0.0410810771761873,0.0250324044978416,100,0,100,100,0.116637156930921,NA,1
806,"TEH",0.105575592922579,NA,0.353006554802052,NA,100,100,NA,NA,0.1166272865818,0.994390592918788,1
806,"TEH-ANT",0.0991634031136363,-0.00610695529880997,0.353594043404873,0.0250214741696051,100,100,100,100,0.116376233811473,0.993361430503793,1
807,"HH",-0.864745587336869,NA,0.0235131823595052,NA,0,0,NA,NA,0.358574368489434,NA,1
807,"HH-ANT",-1.12584286725845,-0.433033832394042,0.0279567307625744,0.0256032399142663,0,0,0,0,0.419203237318596,NA,1
807,"ETI",0.15666070873815,NA,0.0326064276204927,NA,100,0,NA,NA,0.140845020033222,NA,1
807,"ETI-ANT",0.18190378613333,0.023130750408091,0.0427802926902318,0.0254344235189509,100,0,100,100,0.140388826938198,NA,1
807,"TEH",0.154767150323224,NA,0.354884066448814,NA,100,100,NA,NA,0.140894636859076,0.999523571890704,1
807,"TEH-ANT",0.178922209476017,0.0221330446961177,0.357688186836891,0.0254287167721988,100,100,100,100,0.140433225366003,1.00444526223996,1
808,"HH",-0.861495452151115,NA,0.0235458173585912,NA,0,0,NA,NA,0.366258096875356,NA,1
808,"HH-ANT",-1.13136680702507,-0.447757221361458,0.0279866487131254,0.0256273223023717,0,0,0,0,0.428362849931871,NA,1
808,"ETI",0.112594739342281,NA,0.0324671899094503,NA,100,0,NA,NA,0.13890570086818,NA,1
808,"ETI-ANT",0.0925598985956087,-0.0180837007732613,0.042685417302589,0.0253658667257361,100,0,100,100,0.140551068141087,NA,1
808,"TEH",0.110817420121375,NA,0.354157316082589,NA,100,100,NA,NA,0.139024196068511,0.997495043051314,1
808,"TEH-ANT",0.0896963645762092,-0.0190557951602114,0.353825951124296,0.0253626900830424,100,100,100,100,0.140777009984319,0.99347065696387,1
809,"HH",-0.860290562991073,NA,0.0235596219266972,NA,0,0,NA,NA,0.351710047010781,NA,1
809,"HH-ANT",-1.12943442114825,-0.446883564265765,0.028003207508456,0.0256494602908696,0,0,0,0,0.410887343678278,NA,1
809,"ETI",0.141272890998347,NA,0.032049509742802,NA,100,0,NA,NA,0.122829028181905,NA,1
809,"ETI-ANT",0.139011612544579,-0.00214558225311829,0.0415878021367506,0.0251421629696712,100,0,100,100,0.123047446716882,NA,1
809,"TEH",0.139555499477759,NA,0.357740414695469,NA,100,100,NA,NA,0.122860988284114,1.00777903442645,1
809,"TEH-ANT",0.136357155814199,-0.00303458617089075,0.358513089573779,0.0251372715914978,100,100,100,100,0.123082697286103,1.00719338874108,1
810,"HH",-0.885675200257304,NA,0.0233938589381323,NA,0,0,NA,NA,0.3249865125731,NA,1
810,"HH-ANT",-1.13910606973417,-0.420655359373586,0.0278206798514552,0.0254952654911782,0,0,0,0,0.380342302072485,NA,1
810,"ETI",0.0723500450358054,NA,0.0322340969150898,NA,100,0,NA,NA,0.140594100037396,NA,1
810,"ETI-ANT",0.0780767532645458,0.00520790340466371,0.0423786927059219,0.0251476906441819,100,100,100,100,0.140974166367582,NA,1
810,"TEH",0.0706646126554631,NA,0.356259744553633,NA,100,100,NA,NA,0.140546559756435,1.00352758977901,1
810,"TEH-ANT",0.0753867180301012,0.00429498895842465,0.35764254535768,0.0251402461863953,100,100,100,100,0.14088747106963,1.00445352702451,1
811,"HH",-0.851038651101263,NA,0.0234685157307327,NA,0,0,NA,NA,0.372092028364571,NA,1
811,"HH-ANT",-1.13530473183614,-0.472116418498467,0.0278772963635295,0.0255242291302013,0,0,0,0,0.434937555651317,NA,1
811,"ETI",0.159926184846922,NA,0.0317804162495601,NA,100,0,NA,NA,0.121207470068989,NA,1
811,"ETI-ANT",0.133719845922632,-0.0246127001989921,0.0413163539859706,0.0249614747288794,100,0,100,100,0.122693225526689,NA,1
811,"TEH",0.158227694113023,NA,0.358244804684334,NA,100,100,NA,NA,0.121327715585264,1.00927847463827,1
811,"TEH-ANT",0.131052453728887,-0.0255100059029374,0.357424969719934,0.0249596887411983,100,100,100,100,0.122889402122876,1.00418008030471,1
812,"HH",-0.875001908299136,NA,0.023620222493291,NA,0,0,NA,NA,0.350103092312504,NA,1
812,"HH-ANT",-1.13486158126188,-0.430992065095517,0.0280865900765425,0.0257268156510209,0,0,0,0,0.409788769297688,NA,1
812,"ETI",0.0840903213271183,NA,0.0325236624224937,NA,100,0,NA,NA,0.141405831963727,NA,1
812,"ETI-ANT",0.0785571265530464,-0.00502509679420309,0.0427497566231446,0.0253771306913599,100,100,100,100,0.141834440657849,NA,1
812,"TEH",0.0823940910978524,NA,0.35745098202128,NA,100,100,NA,NA,0.14145708254935,1.00683575046509,1
812,"TEH-ANT",0.0758507335169517,-0.00594505731233073,0.358105142194296,0.0253721911199346,100,100,100,100,0.141933608973233,1.00564236396373,1
