"simulation","model","treatment_effect","anticipation_effect","naive_se_t","naive_se_a","naive_coverage_t","naive_power_t","naive_coverage_a","naive_power_a","alpha_sd","delta_sd","convergence"
601,"HH",-0.869572751427837,NA,0.0234697798172591,NA,0,0,NA,NA,0.331565677493988,NA,1
601,"HH-ANT",-1.11645685845827,-0.409552580102652,0.02791796170615,0.0255817405494186,0,0,0,0,0.386944736164584,NA,1
601,"ETI",0.101005662564665,NA,0.0325691936532102,NA,100,0,NA,NA,0.145647992134153,NA,1
601,"ETI-ANT",0.133154987612946,0.0291667039829856,0.0429399968240434,0.0253937036565582,100,0,100,100,0.146539238668562,NA,1
601,"TEH",0.0992653132397312,NA,0.354548555670386,NA,100,100,NA,NA,0.145612726909294,0.998580835320876,1
601,"TEH-ANT",0.130344887792379,0.0282118387414985,0.357746049964939,0.0253859051079159,100,100,100,100,0.146442790090246,1.00455845241026,1
602,"HH",-0.858197765289798,NA,0.0234041532552629,NA,0,0,NA,NA,0.359132750464299,NA,1
602,"HH-ANT",-1.08644092903749,-0.379275911399225,0.0278512201950408,0.0255106028447151,0,0,0,0,0.407812931221188,NA,1
602,"ETI",0.0918394187923246,NA,0.0320744275696691,NA,100,0,NA,NA,0.12990206556634,NA,1
602,"ETI-ANT",0.14901806335581,0.053374619339998,0.0417966021347662,0.0250773426099918,100,0,100,0,0.129217672790933,NA,1
602,"TEH",0.0901221426123523,NA,0.349713112746587,NA,100,100,NA,NA,0.130004437172049,0.984973986845941,1
602,"TEH-ANT",0.146333792953281,0.0524724423113625,0.354489872751137,0.0250721152514461,100,100,100,0,0.129256718562298,0.995666492817635,1
603,"HH",-0.889168224341934,NA,0.0234995810086353,NA,0,0,NA,NA,0.362767052032668,NA,1
603,"HH-ANT",-1.13115458915035,-0.401713667553429,0.027955769523065,0.025603260381585,0,0,0,0,0.416913437818646,NA,1
603,"ETI",0.107295965669383,NA,0.0327730311056396,NA,100,0,NA,NA,0.145174307185171,NA,1
603,"ETI-ANT",0.161428475240478,0.0493348520249506,0.0430795306872843,0.025536907694804,100,0,100,100,0.144403349936599,NA,1
603,"TEH",0.10539218781791,NA,0.350721994046679,NA,100,100,NA,NA,0.14524382041372,0.987656968308192,1
603,"TEH-ANT",0.158412817031643,0.0483230582591337,0.355582208314871,0.0255304703627224,100,100,100,100,0.144416671375838,0.998343660073578,1
604,"HH",-0.879289332211365,NA,0.0235909680746113,NA,0,0,NA,NA,0.371754550165437,NA,1
604,"HH-ANT",-1.10190715861186,-0.369420177659116,0.0280815445874169,0.0257169084976267,0,0,0,0,0.422709027863785,NA,1
604,"ETI",0.0813030023335669,NA,0.0326352013512066,NA,100,0,NA,NA,0.144496670873686,NA,1
604,"ETI-ANT",0.16544671911779,0.0762551963921775,0.0426631358064694,0.0253708196294138,100,0,100,0,0.139770607231052,NA,1
604,"TEH",0.0795518573814208,NA,0.354449790648754,NA,100,100,NA,NA,0.144642220626508,0.998281962190807,1
604,"TEH-ANT",0.162688990000485,0.0753214314472138,0.361115340212193,0.0253662086758716,100,100,100,0,0.139877121777048,1.01424584664578,1
605,"HH",-0.889597475697645,NA,0.0235018236698216,NA,0,0,NA,NA,0.325726320278092,NA,1
